COMMAND      PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 291902 root  143u  IPv6 91880586      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-18-233-204-144.compute-1.amazonaws.com:40720 (ESTABLISHED)
odysseygo 291902 root  144u  IPv4 91879983      0t0  TCP ip-172-31-24-48.ec2.internal:60676->ec2-18-206-17-246.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  145u  IPv6 91879979      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-3-93-84-116.compute-1.amazonaws.com:39704 (ESTABLISHED)
odysseygo 291902 root  146u  IPv6 91879981      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-52-200-197-163.compute-1.amazonaws.com:50754 (ESTABLISHED)
odysseygo 291902 root  147u  IPv4 91880590      0t0  TCP ip-172-31-24-48.ec2.internal:52970->ec2-3-228-129-216.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  148u  IPv4 91880593      0t0  TCP ip-172-31-24-48.ec2.internal:50998->ec2-44-214-160-107.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  149u  IPv6 91876143      0t0  TCP ip-172-31-24-48.ec2.internal:9651->212.192.49.56:58894 (ESTABLISHED)
odysseygo 291902 root  150u  IPv6 91876145      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-174-129-137-236.compute-1.amazonaws.com:40378 (ESTABLISHED)
odysseygo 291902 root  151u  IPv4 91881569      0t0  TCP ip-172-31-24-48.ec2.internal:35988->ec2-34-195-184-106.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  152u  IPv6 91880022      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-44-211-0-202.compute-1.amazonaws.com:57242 (ESTABLISHED)
odysseygo 291902 root  153u  IPv4 91881570      0t0  TCP ip-172-31-24-48.ec2.internal:42952->ec2-34-206-248-174.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  154u  IPv6 91880024      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-107-20-201-207.compute-1.amazonaws.com:41162 (ESTABLISHED)
odysseygo 291902 root  155u  IPv4 91880600      0t0  TCP ip-172-31-24-48.ec2.internal:38636->ec2-23-23-81-139.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  156u  IPv6 91881571      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-52-202-179-225.compute-1.amazonaws.com:37582 (ESTABLISHED)
odysseygo 291902 root  157u  IPv6 91880601      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-35-169-66-196.compute-1.amazonaws.com:36316 (ESTABLISHED)
odysseygo 291902 root  158u  IPv6 91880603      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-34-227-72-239.compute-1.amazonaws.com:54280 (ESTABLISHED)
odysseygo 291902 root  159u  IPv6 91880065      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-34-205-163-144.compute-1.amazonaws.com:33606 (ESTABLISHED)
odysseygo 291902 root  160u  IPv6 91876186      0t0  TCP ip-172-31-24-48.ec2.internal:9651->static.159.52.109.65.clients.your-server.de:45948 (ESTABLISHED)
odysseygo 291902 root  161u  IPv6 91881574      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-23-22-195-89.compute-1.amazonaws.com:45882 (ESTABLISHED)
odysseygo 291902 root  162u  IPv4 91880646      0t0  TCP ip-172-31-24-48.ec2.internal:35284->ec2-54-197-55-84.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  163u  IPv4 91880645      0t0  TCP ip-172-31-24-48.ec2.internal:54526->ec2-34-202-198-117.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  164u  IPv6 91881576      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-34-228-222-195.compute-1.amazonaws.com:33938 (ESTABLISHED)
odysseygo 291902 root  165u  IPv4 91876197      0t0  TCP ip-172-31-24-48.ec2.internal:58596->ec2-3-227-69-165.compute-1.amazonaws.com:9651 (ESTABLISHED)
